kanji,type,mean,spell
色んな,rentaishi,various,いろんな
有効,keiyodoshi/noun,valid;effective,ゆうこう
感じ,noun, feeling; experience,かんじ
猫背,noun,bend back,ねこぜ
住む,verb,live;to inhabit,すむ
内地,inland; interior,ないち
人より,fukushi,more than most people; compare with others,ひとより
得意,noun/keiyodoshi,pride;triumph;satisfaction;one's strong point,とくい
行う,verb,to perform,おこなう
瞬間,noun/fukushi,moment;second;intant,しゅんかん
バランス,noun,balance,ばらんす
崩す,verb, to destroy; to demolish; to tear down,くずす
踏みとどまる,verb, to stay on; to hold out; to stop,ふみとどまる
絶対,fukushi,absolutely,ぜったい
恥ずかしい,keiyoushi,embarassing,はずかしい
限り,noun,... the last; ... in the end,かぎり
お互い,noun, each other; one another​,おたがい
通る,verb,to go past; to go by; go along;to take a route; to go via; go indoor;to come in; to penetrate;to go through;to soak into; to be known as; to make sense; be understandable,とおる
正門,noun, main gate; main entrance,せいもん
街,noun, town;downtoun,まち
住み慣れる,verb,get used to living in,すみなれる
当たり前,noun/keiyodoshi, natural; reasonable;obvious,あたりまえ
個人的,noun,personal(add に to become personal place),個人的
校章,noun, school emblem,こうしょう
気に入る,verb/expression,like; to be blease with, to take a liking
内,fukushi, inside;while; during;amongst,うち
吸い込む,verb, to suck up; to absorb,すいこむ
入る,verb, to enter,はいる
多数,noun, large number; many,たそう
中,noun, inside; among within,なか
男子, noun, the bois,だんし
ホッと,fukushi,feeling relief,ほっと
宿題,noun, homework,しゅくだい
忘れる,verb, to forget, わすれる
時間目,noun, period; class,じかんめ
休み時間,noun, breaktime, やすみじかん
数学,noun, math,すうがく、
覚える,verb, memorize,おぼえる
実際,noun,reality; truth; fact; practice;truly; really,じっさい
登校,noun, going to school,とうどう
今朝,fukushi, this morning,けさ
謝る,verb, to apologize,あやまる
仕方,noun, way; method,しかた
影,noun,shadow,かげ
薄い,keiyoushi,thin;light;watery,うすい
体育,noun,physical education,たい(い)く
残った,noun/verb?,remaining;leftover,のこった
倉庫,noun, storehouse; warehouse,倉庫
用具,noun, tool;instrument;equipment,ようぐ
持つ,verb,hold;take;carry;to own,もつ
持っていく,verb,to take; to carry away; to bear,もっていく
鍵,noun, key,かぎ
出席,noun,attendance;appearence,しゅっせき
返事,noun,answers;reply,へんじ
先生,noun, teacher,せんせい
始める,verb,start; begin,はじめる
お手洗い,noun, toilet; restroom, おてあらい
間,suffix/noun,period of time;while(doing some thing),かん
先,noun, head; ahead; before;destination,さき
帰る,verb, return; come home; go back,かえる
目立つ,verb, to standout; to be conspicuous,めだつ
